# --*-- shell --*--
#
# This file represents a map between shared libraries and packages
# in XBPS. Every shared library installed by a package must be
# listed here and mapped to a binary package.
#
# The third field controls the development package associated with
# the binary package that provides the shared library.
#
##########################################################################
# SONAME			BINPKG			BINPKG-DEVEL
##########################################################################
libgettextpo.so			gettext-libs		gettext-devel
libattr.so			attr			attr-devel
libacl.so			acl			acl-devel
libpython2.6.so.1		python			python-devel
libffi.so			libffi			libffi-devel
libcrack.so			cracklib		cracklib-devel
libpam.so			pam			pam-devel
libpam_misc.so			pam			pam-devel
libcap.so			libcap			libcap-devel
liblzma.so			xz			xz-devel
libuuid.so			libuuid			libuuid-devel
libblkid.so			libblkid		libblkid-devel
libeinfo.so			OpenRC			OpenRC-devel
librc.so			OpenRC			OpenRC-devel
libidn.so.11			libidn			libidn-devel
libusb-1.0.so			libusb			libusb-devel
libusb-0.1.so			libusb-compat		libusb-compat-devel
libpci.so			pciutils		pciutils-devel
libpcre.so			pcre			pcre-devel
libpcreposix.so			pcre			pcre-devel
libpcrecpp.so			pcre			pcre-devel
libgirepository-everything-1.0.so	gobject-introspection		gobject-introspection-devel
libgirepository-1.0.so			gobject-introspection		gobject-introspection-devel
libudev.so			libudev			libudev-devel
libgudev-1.0.so 		libgudev		libgudev-devel
libproc-3.2.8.so		procps
libext2fs.so			e2fsprogs-libs		e2fsprogs-devel
libcom_err.so			e2fsprogs-libs		e2fsprogs-devel
libe2p.so			e2fsprogs-libs		e2fsprogs-devel
libss.so			e2fsprogs-libs		e2fsprogs-devel
libiw.so.29			wireless_tools		wireless_tools-devel
libpopt.so			popt			popt-devel
libtasn1.so			libtasn1		libtasn1-devel
libgpg-error.so			libgpg-error		libgpg-error-devel
liblzo2.so			lzo			lzo-devel
libgcrypt.so.11			libgcrypt		libgcrypt-devel
libgnutls.so.26			gnutls			gnutls-devel
libgnutlsxx.so.26		gnutls			gnutls-devel
libgnutls-extra.so.26		gnutls			gnutls-devel
libgnutls-openssl.so.26		gnutls			gnutls-devel
libwrap.so			tcp_wrappers-libs	tcp_wrappers-devel
libdevmapper.so.1.02		device-mapper		device-mapper-devel
libprop.so			proplib			proplib-devel
libxbps.so			xbps
libfontenc.so			libfontenc		libfontenc-devel
libXfont.so			libXfont		libXfont-devel
libx86.so			libx86			libx86-devel
libxcb-render.so		libxcb			libxcb-devel
libxcb-glx.so			libxcb			libxcb-devel
libxcb-composite.so		libxcb			libxcb-devel
libxcb-randr.so			libxcb			libxcb-devel
libxcb-shape.so			libxcb			libxcb-devel
libxcb-sync.so			libxcb			libxcb-devel
libxcb-shm.so			libxcb			libxcb-devel
libxcb-screensaver.so		libxcb			libxcb-devel
libxcb-xprint.so		libxcb			libxcb-devel
libxcb-res.so			libxcb			libxcb-devel
libxcb.so			libxcb			libxcb-devel
libxcb-damage.so		libxcb			libxcb-devel
libxcb-dpms.so			libxcb			libxcb-devel
libxcb-record.so		libxcb			libxcb-devel
libxcb-xtest.so			libxcb			libxcb-devel
libxcb-xv.so			libxcb			libxcb-devel
libxcb-xf86dri.so		libxcb			libxcb-devel
libxcb-xinerama.so		libxcb			libxcb-devel
libxcb-dri2.so			libxcb			libxcb-devel
libxcb-xevie.so			libxcb			libxcb-devel
libxcb-xfixes.so		libxcb			libxcb-devel
libxcb-xvmc.so			libxcb			libxcb-devel
libXdmcp.so			libXdmcp		libXdmcp-devel
libeggdbus-1.so			eggdbus			eggdbus-devel
libpolkit-gobject-1.so		polkit			polkit-devel
libpolkit-agent-1.so		polkit			polkit-devel
libpolkit-backend-1.so		polkit			polkit-devel
libck-connector.so		ConsoleKit		ConsoleKit-devel
